"","time","number"
"1",2025-05-16 08:31:26.563914,9
"2",2025-05-16 08:36:35.433368,10
"3",2025-05-16 08:42:50.965627,14
"4",2025-05-16 08:47:58.721448,14
"5",2025-05-16 08:53:07.113274,16
"6",2025-05-16 08:58:14.602344,18
"7",2025-05-16 09:03:23.006261,18
"8",2025-05-16 09:08:31.943845,19
"9",2025-05-16 09:13:40.122858,21
"10",2025-05-16 09:18:48.228353,23
"11",2025-05-16 09:23:56.759235,26
"12",2025-05-16 09:29:05.430859,42
"13",2025-05-16 09:34:11.211363,46
"14",2025-05-16 09:39:16.555131,44
"15",2025-05-16 09:44:21.959784,46
"16",2025-05-16 09:49:30.145307,47
"17",2025-05-16 09:54:38.737773,47
"18",2025-05-16 09:59:47.756193,47
"19",2025-05-16 10:04:56.715352,47
"20",2025-05-16 10:10:05.671127,49
"21",2025-05-16 10:15:14.50636,53
"22",2025-05-16 10:20:20.967923,54
"23",2025-05-16 10:25:26.830712,54
