"","time","number"
"1",2025-05-16 11:02:15.646336,49
"2",2025-05-16 11:07:25.863781,50
"3",2025-05-16 11:12:30.883681,52
"4",2025-05-16 11:17:37.013066,55
"5",2025-05-16 11:22:42.772237,56
"6",2025-05-16 11:27:48.938394,57
"7",2025-05-16 11:58:43.988841,67
"8",2025-05-16 12:03:52.860027,71
"9",2025-05-16 12:09:01.952494,70
"10",2025-05-16 12:14:10.882982,38
"11",2025-05-16 12:19:19.77653,18
"12",2025-05-16 12:24:28.683537,19
"13",2025-05-16 12:29:37.670746,19
"14",2025-05-16 12:34:44.902103,19
"15",2025-05-16 12:39:51.946128,24
"16",2025-05-16 12:45:00.893572,24
"17",2025-05-16 12:50:10.046246,24
"18",2025-05-16 12:55:17.250435,24
"19",2025-05-16 13:00:23.792237,24
"20",2025-05-16 13:05:31.037507,24
"21",2025-05-16 13:10:39.772907,28
"22",2025-05-16 13:15:46.907607,30
"23",2025-05-16 13:20:52.765931,30
"24",2025-05-16 13:26:00.322825,32
"25",2025-05-16 13:31:09.187677,33
"26",2025-05-16 13:36:17.995334,33
"27",2025-05-16 13:41:26.384849,34
"28",2025-05-16 13:46:33.846341,34
"29",2025-05-16 13:51:42.552841,37
"30",2025-05-16 13:56:51.369724,37
"31",2025-05-16 14:01:59.819692,38
"32",2025-05-16 14:07:07.604987,38
"33",2025-05-16 14:12:14.218888,42
"34",2025-05-16 14:17:22.760267,47
"35",2025-05-16 14:22:31.370112,48
"36",2025-05-16 14:27:40.34401,51
"37",2025-05-16 14:32:49.189191,54
"38",2025-05-16 14:37:58.109767,55
"39",2025-05-16 14:43:06.727015,55
"40",2025-05-16 14:48:12.515795,56
"41",2025-05-16 14:53:17.94235,59
"42",2025-05-16 14:58:27.53189,60
"43",2025-05-16 15:03:33.554765,60
"44",2025-05-16 15:08:40.739595,61
