"","time","number"
"1",2025-05-18 09:05:50.694426,12
"2",2025-05-18 09:10:57.041747,16
"3",2025-05-18 09:16:02.64213,17
"4",2025-05-18 09:21:11.166636,22
"5",2025-05-18 09:26:19.407938,26
"6",2025-05-18 09:31:28.096981,37
"7",2025-05-18 09:36:33.762179,37
"8",2025-05-18 09:41:38.95136,37
"9",2025-05-18 09:46:44.524521,39
"10",2025-05-18 09:51:52.02429,41
"11",2025-05-18 09:57:00.098384,42
"12",2025-05-18 10:02:08.72976,44
"13",2025-05-18 10:07:17.354091,51
"14",2025-05-18 10:12:25.519401,50
"15",2025-05-18 10:17:33.6115,52
"16",2025-05-18 10:22:41.969208,56
"17",2025-05-18 10:27:50.249658,56
"18",2025-05-18 10:32:58.858344,61
"19",2025-05-18 10:38:07.086948,62
"20",2025-05-18 10:43:14.831911,65
"21",2025-05-18 10:48:22.717045,67
"22",2025-05-18 10:53:30.519324,66
"23",2025-05-18 10:58:38.9331,67
"24",2025-05-18 11:03:47.415683,70
"25",2025-05-18 11:08:55.684439,79
"26",2025-05-18 11:14:03.963017,83
"27",2025-05-18 11:19:12.308979,95
"28",2025-05-18 11:24:20.945889,97
"29",2025-05-18 11:29:29.246405,97
"30",2025-05-18 11:34:37.600198,98
"31",2025-05-18 11:39:45.601847,100
"32",2025-05-18 11:44:54.538862,103
"33",2025-05-18 11:50:02.599245,105
"34",2025-05-18 11:55:10.680966,106
"35",2025-05-18 12:00:21.576233,107
"36",2025-05-18 12:05:29.711217,111
"37",2025-05-18 12:10:38.128647,115
"38",2025-05-18 12:15:46.817241,118
"39",2025-05-18 12:20:55.509309,122
"40",2025-05-18 12:26:03.258382,124
"41",2025-05-18 12:31:11.38297,126
"42",2025-05-18 12:36:19.747012,129
"43",2025-05-18 12:41:28.313731,129
"44",2025-05-18 12:46:36.077943,131
"45",2025-05-18 12:51:44.057437,136
"46",2025-05-18 12:56:52.918994,138
"47",2025-05-18 13:02:04.167861,135
"48",2025-05-18 13:07:12.607245,142
"49",2025-05-18 13:12:21.132109,140
"50",2025-05-18 13:17:29.832399,138
"51",2025-05-18 13:22:38.034299,136
"52",2025-05-18 13:27:46.234226,130
"53",2025-05-18 13:32:54.149109,126
"54",2025-05-18 13:38:02.304693,126
"55",2025-05-18 13:43:10.822291,128
"56",2025-05-18 13:48:19.691039,129
"57",2025-05-18 13:53:28.021018,135
"58",2025-05-18 13:58:35.94344,133
"59",2025-05-18 14:03:44.466958,128
"60",2025-05-18 14:08:52.747093,126
"61",2025-05-18 14:14:01.192587,128
"62",2025-05-18 14:19:09.364915,127
"63",2025-05-18 14:24:15.649565,126
"64",2025-05-18 14:29:21.200718,122
"65",2025-05-18 14:34:26.622122,121
"66",2025-05-18 14:39:34.754318,121
"67",2025-05-18 14:44:43.406546,128
"68",2025-05-18 14:49:51.99464,126
"69",2025-05-18 14:54:59.834569,126
"70",2025-05-18 15:00:12.567182,128
"71",2025-05-18 15:05:20.633712,125
"72",2025-05-18 15:10:28.590169,123
"73",2025-05-18 15:15:36.942488,118
"74",2025-05-18 15:20:45.206545,113
"75",2025-05-18 15:25:53.641712,114
"76",2025-05-18 15:31:02.202973,115
"77",2025-05-18 15:36:10.533946,116
"78",2025-05-18 15:41:18.913515,117
"79",2025-05-18 15:46:27.460876,117
"80",2025-05-18 15:51:35.889558,118
"81",2025-05-18 16:01:51.858244,126
"82",2025-05-18 16:07:00.654951,127
"83",2025-05-18 16:12:08.45944,126
"84",2025-05-18 16:17:16.867298,127
"85",2025-05-18 16:22:25.397919,122
"86",2025-05-18 16:27:33.125958,122
"87",2025-05-18 16:32:41.317236,119
"88",2025-05-18 16:37:49.890728,122
"89",2025-05-18 16:42:58.178182,122
"90",2025-05-18 16:48:06.333543,125
"91",2025-05-18 16:53:15.029489,126
"92",2025-05-18 16:58:23.196753,128
"93",2025-05-18 17:03:31.873466,118
"94",2025-05-18 17:08:40.550485,121
"95",2025-05-18 17:13:49.044468,117
"96",2025-05-18 17:18:57.360844,115
"97",2025-05-18 17:24:05.920982,113
"98",2025-05-18 17:29:14.250003,117
"99",2025-05-18 17:34:22.67445,120
"100",2025-05-18 17:39:31.590455,120
"101",2025-05-18 17:44:39.804214,116
"102",2025-05-18 17:49:48.175725,115
"103",2025-05-18 17:54:56.895292,116
"104",2025-05-18 18:00:08.315633,114
"105",2025-05-18 18:05:16.124063,122
"106",2025-05-18 18:10:24.46075,123
"107",2025-05-18 18:15:32.938209,128
"108",2025-05-18 18:20:41.0323,129
"109",2025-05-18 18:25:49.208871,131
"110",2025-05-18 18:30:57.536684,133
"111",2025-05-18 18:36:05.822945,133
"112",2025-05-18 18:41:13.79634,134
"113",2025-05-18 18:46:21.931434,133
"114",2025-05-18 18:51:29.772524,133
"115",2025-05-18 18:56:38.726401,131
"116",2025-05-18 19:01:47.043929,128
"117",2025-05-18 19:06:55.710181,126
"118",2025-05-18 19:12:04.118952,123
"119",2025-05-18 19:17:12.472176,120
"120",2025-05-18 19:22:20.516482,119
"121",2025-05-18 19:27:28.974127,118
"122",2025-05-18 19:32:36.875192,121
"123",2025-05-18 19:37:45.618161,118
"124",2025-05-18 19:42:54.16791,118
"125",2025-05-18 19:48:02.607382,120
"126",2025-05-18 19:53:11.400519,122
"127",2025-05-18 19:58:19.113702,116
"128",2025-05-18 20:03:28.566215,115
"129",2025-05-18 20:08:37.239807,116
"130",2025-05-18 20:13:44.410858,113
"131",2025-05-18 20:18:49.80941,113
"132",2025-05-18 20:23:55.226738,109
"133",2025-05-18 20:29:00.757921,108
"134",2025-05-18 20:34:06.193061,107
"135",2025-05-18 20:39:11.775225,103
"136",2025-05-18 20:44:20.075533,100
"137",2025-05-18 20:49:28.83954,97
"138",2025-05-18 20:54:37.154733,90
"139",2025-05-18 20:59:45.20074,86
"140",2025-05-18 21:04:53.812686,77
"141",2025-05-18 21:10:02.812148,75
"142",2025-05-18 21:15:11.451601,75
"143",2025-05-18 21:20:20.134389,75
"144",2025-05-18 21:25:28.648851,71
"145",2025-05-18 21:30:36.871267,67
"146",2025-05-18 21:35:45.479782,65
"147",2025-05-18 21:40:53.716124,65
"148",2025-05-18 21:46:02.195496,59
"149",2025-05-18 21:51:10.669013,56
"150",2025-05-18 21:56:19.583993,56
"151",2025-05-18 22:01:27.782678,50
